State,Date,Value,Anomaly,Month,Year,Season
Alabama,201601,43.0,-1.9,01,2016,Winter
Alabama,201602,49.8,1.5,02,2016,Winter
Alabama,201603,59.7,4.9,03,2016,Spring
Alabama,201604,63.6,0.7,04,2016,Spring
Alabama,201605,70.2,-0.4,05,2016,Spring
Alabama,201606,79.2,1.9,06,2016,Summer
Alabama,201607,82.0,2.1,07,2016,Summer
Alabama,201608,81.6,2.4,08,2016,Summer
Alabama,201609,78.6,4.2,09,2016,Fall
Alabama,201610,68.5,4.7,10,2016,Fall
Alabama,201611,57.8,4.4,11,2016,Fall
Alabama,201612,50.1,3.6,12,2016,Winter
Alabama,201701,52.4,7.5,01,2017,Winter
Alabama,201702,55.6,7.3,02,2017,Winter
Alabama,201703,58.4,3.6,03,2017,Spring
Alabama,201704,67.2,4.3,04,2017,Spring
Alabama,201705,69.9,-0.7,05,2017,Spring
Alabama,201706,75.8,-1.5,06,2017,Summer
Alabama,201707,80.6,0.7,07,2017,Summer
Alabama,201708,78.8,-0.4,08,2017,Summer
Alabama,201709,73.4,-1.0,09,2017,Fall
Alabama,201710,65.8,2.0,10,2017,Fall
Alabama,201711,55.6,2.2,11,2017,Fall
Alabama,201712,46.9,0.4,12,2017,Winter
Alabama,201801,40.4,-4.5,01,2018,Winter
Alabama,201802,58.0,9.7,02,2018,Winter
Alabama,201803,55.3,0.5,03,2018,Spring
Alabama,201804,59.4,-3.5,04,2018,Spring
Alabama,201805,74.5,3.9,05,2018,Spring
Alabama,201806,79.3,2.0,06,2018,Summer
Alabama,201807,80.7,0.8,07,2018,Summer
Alabama,201808,79.5,0.3,08,2018,Summer
Alabama,201809,79.4,5.0,09,2018,Fall
Alabama,201810,67.5,3.7,10,2018,Fall
Alabama,201811,50.3,-3.1,11,2018,Fall
Alabama,201812,49.0,2.5,12,2018,Winter
Alabama,201901,46.5,1.6,01,2019,Winter
Arizona,201601,41.8,1.1,01,2016,Winter
Arizona,201602,50.6,5.8,02,2016,Winter
Arizona,201603,54.9,5.4,03,2016,Spring
Arizona,201604,58.5,1.6,04,2016,Spring
Arizona,201605,64.6,-0.8,05,2016,Spring
Arizona,201606,80.3,5.8,06,2016,Summer
Arizona,201607,82.4,2.4,07,2016,Summer
Arizona,201608,77.5,-0.4,08,2016,Summer
Arizona,201609,71.6,-0.7,09,2016,Fall
Arizona,201610,66.1,4.8,10,2016,Fall
Arizona,201611,53.1,4.0,11,2016,Fall
Arizona,201612,44.7,3.0,12,2016,Winter
Arizona,201701,42.3,1.6,01,2017,Winter
Arizona,201702,49.4,4.6,02,2017,Winter
Arizona,201703,56.6,7.1,03,2017,Spring
Arizona,201704,59.9,3.0,04,2017,Spring
Arizona,201705,66.1,0.7,05,2017,Spring
Arizona,201706,79.8,5.3,06,2017,Summer
Arizona,201707,81.5,1.5,07,2017,Summer
Arizona,201708,79.1,1.2,08,2017,Summer
Arizona,201709,72.4,0.1,09,2017,Fall
Arizona,201710,65.1,3.8,10,2017,Fall
Arizona,201711,57.6,8.5,11,2017,Fall
Arizona,201712,46.6,4.9,12,2017,Winter
Arizona,201801,47.6,6.9,01,2018,Winter
Arizona,201802,46.8,2.0,02,2018,Winter
Arizona,201803,52.3,2.8,03,2018,Spring
Arizona,201804,62.9,6.0,04,2018,Spring
Arizona,201805,68.5,3.1,05,2018,Spring
Arizona,201806,78.6,4.1,06,2018,Summer
Arizona,201807,82.2,2.2,07,2018,Summer
Arizona,201808,80.2,2.3,08,2018,Summer
Arizona,201809,76.0,3.7,09,2018,Fall
Arizona,201810,59.9,-1.4,10,2018,Fall
Arizona,201811,49.4,0.3,11,2018,Fall
Arizona,201812,42.8,1.1,12,2018,Winter
Arizona,201901,42.4,1.7,01,2019,Winter
Arkansas,201601,39.5,0.5,01,2016,Winter
Arkansas,201602,46.9,3.3,02,2016,Winter
Arkansas,201603,55.5,4.4,03,2016,Spring
Arkansas,201604,62.5,1.8,04,2016,Spring
Arkansas,201605,67.2,-1.6,05,2016,Spring
Arkansas,201606,78.9,2.3,06,2016,Summer
Arkansas,201607,82.0,1.5,07,2016,Summer
Arkansas,201608,80.0,0.6,08,2016,Summer
Arkansas,201609,75.8,3.0,09,2016,Fall
Arkansas,201610,67.0,5.0,10,2016,Fall
Arkansas,201611,55.7,6.1,11,2016,Fall
Arkansas,201612,42.5,0.9,12,2016,Winter
Arkansas,201701,45.2,6.2,01,2017,Winter
Arkansas,201702,52.5,8.9,02,2017,Winter
Arkansas,201703,55.7,4.6,03,2017,Spring
Arkansas,201704,64.2,3.5,04,2017,Spring
Arkansas,201705,67.7,-1.1,05,2017,Spring
Arkansas,201706,75.5,-1.1,06,2017,Summer
Arkansas,201707,80.6,0.1,07,2017,Summer
Arkansas,201708,76.9,-2.5,08,2017,Summer
Arkansas,201709,73.2,0.4,09,2017,Fall
Arkansas,201710,62.9,0.9,10,2017,Fall
Arkansas,201711,53.7,4.1,11,2017,Fall
Arkansas,201712,42.4,0.8,12,2017,Winter
Arkansas,201801,35.7,-3.3,01,2018,Winter
Arkansas,201802,45.9,2.3,02,2018,Winter
Arkansas,201803,53.9,2.8,03,2018,Spring
Arkansas,201804,55.2,-5.5,04,2018,Spring
Arkansas,201805,75.0,6.2,05,2018,Spring
Arkansas,201806,80.1,3.5,06,2018,Summer
Arkansas,201807,81.8,1.3,07,2018,Summer
Arkansas,201808,78.8,-0.6,08,2018,Summer
Arkansas,201809,75.0,2.2,09,2018,Fall
Arkansas,201810,62.6,0.6,10,2018,Fall
Arkansas,201811,45.8,-3.8,11,2018,Fall
Arkansas,201812,44.2,2.6,12,2018,Winter
Arkansas,201901,40.8,1.8,01,2019,Winter
California,201601,44.5,2.0,01,2016,Winter
California,201602,51.8,6.2,02,2016,Winter
California,201603,52.5,3.5,03,2016,Spring
California,201604,57.9,3.7,04,2016,Spring
California,201605,62.2,1.0,05,2016,Spring
California,201606,73.5,5.0,06,2016,Summer
California,201607,76.8,1.9,07,2016,Summer
California,201608,76.2,2.3,08,2016,Summer
California,201609,69.5,0.7,09,2016,Fall
California,201610,60.5,0.6,10,2016,Fall
California,201611,52.8,3.1,11,2016,Fall
California,201612,43.4,0.1,12,2016,Winter
California,201701,42.2,-0.3,01,2017,Winter
California,201702,47.3,1.7,02,2017,Winter
California,201703,53.4,4.4,03,2017,Spring
California,201704,55.6,1.4,04,2017,Spring
California,201705,63.4,2.2,05,2017,Spring
California,201706,72.8,4.3,06,2017,Summer
California,201707,78.8,3.9,07,2017,Summer
California,201708,77.9,4.0,08,2017,Summer
California,201709,69.8,1.0,09,2017,Fall
California,201710,62.0,2.1,10,2017,Fall
California,201711,53.4,3.7,11,2017,Fall
California,201712,47.5,4.2,12,2017,Winter
California,201801,48.8,6.3,01,2018,Winter
California,201802,46.5,0.9,02,2018,Winter
California,201803,48.9,-0.1,03,2018,Spring
California,201804,57.1,2.9,04,2018,Spring
California,201805,63.0,1.8,05,2018,Spring
California,201806,71.4,2.9,06,2018,Summer
California,201807,79.6,4.7,07,2018,Summer
California,201808,76.4,2.5,08,2018,Summer
California,201809,71.1,2.3,09,2018,Fall
California,201810,60.9,1.0,10,2018,Fall
California,201811,52.6,2.9,11,2018,Fall
California,201812,44.7,1.4,12,2018,Winter
California,201901,46.0,3.5,01,2019,Winter
Colorado,201601,25.6,1.8,01,2016,Winter
Colorado,201602,32.4,4.6,02,2016,Winter
Colorado,201603,37.9,4.1,03,2016,Spring
Colorado,201604,43.7,1.0,04,2016,Spring
Colorado,201605,50.8,-1.4,05,2016,Spring
Colorado,201606,66.4,4.9,06,2016,Summer
Colorado,201607,69.2,1.8,07,2016,Summer
Colorado,201608,64.5,-0.9,08,2016,Summer
Colorado,201609,59.7,2.2,09,2016,Fall
Colorado,201610,51.8,5.0,10,2016,Fall
Colorado,201611,40.2,6.8,11,2016,Fall
Colorado,201612,25.2,-0.5,12,2016,Winter
Colorado,201701,25.3,1.5,01,2017,Winter
Colorado,201702,35.4,7.6,02,2017,Winter
Colorado,201703,42.5,8.7,03,2017,Spring
Colorado,201704,44.3,1.6,04,2017,Spring
Colorado,201705,51.5,-0.7,05,2017,Spring
Colorado,201706,64.8,3.3,06,2017,Summer
Colorado,201707,69.4,2.0,07,2017,Summer
Colorado,201708,64.7,-0.7,08,2017,Summer
Colorado,201709,59.1,1.6,09,2017,Fall
Colorado,201710,46.7,-0.1,10,2017,Fall
Colorado,201711,41.3,7.9,11,2017,Fall
Colorado,201712,30.1,4.4,12,2017,Winter
Colorado,201801,29.7,5.9,01,2018,Winter
Colorado,201802,28.6,0.8,02,2018,Winter
Colorado,201803,37.8,4.0,03,2018,Spring
Colorado,201804,43.9,1.2,04,2018,Spring
Colorado,201805,57.2,5.0,05,2018,Spring
Colorado,201806,66.4,4.9,06,2018,Summer
Colorado,201807,69.9,2.5,07,2018,Summer
Colorado,201808,66.2,0.8,08,2018,Summer
Colorado,201809,61.8,4.3,09,2018,Fall
Colorado,201810,45.0,-1.8,10,2018,Fall
Colorado,201811,32.6,-0.8,11,2018,Fall
Colorado,201812,26.6,0.9,12,2018,Winter
Colorado,201901,25.9,2.1,01,2019,Winter
Connecticut,201601,29.7,4.1,01,2016,Winter
Connecticut,201602,32.0,4.7,02,2016,Winter
Connecticut,201603,43.2,7.5,03,2016,Spring
Connecticut,201604,46.8,0.6,04,2016,Spring
Connecticut,201605,58.4,1.4,05,2016,Spring
Connecticut,201606,67.4,1.6,06,2016,Summer
Connecticut,201607,74.1,3.3,07,2016,Summer
Connecticut,201608,73.9,4.9,08,2016,Summer
Connecticut,201609,66.2,4.6,09,2016,Fall
Connecticut,201610,53.5,2.5,10,2016,Fall
Connecticut,201611,43.5,2.7,11,2016,Fall
Connecticut,201612,32.6,2.9,12,2016,Winter
Connecticut,201701,32.7,7.1,01,2017,Winter
Connecticut,201702,34.6,7.3,02,2017,Winter
Connecticut,201703,33.4,-2.3,03,2017,Spring
Connecticut,201704,51.8,5.6,04,2017,Spring
Connecticut,201705,56.7,-0.3,05,2017,Spring
Connecticut,201706,67.0,1.2,06,2017,Summer
Connecticut,201707,71.5,0.7,07,2017,Summer
Connecticut,201708,69.1,0.1,08,2017,Summer
Connecticut,201709,66.0,4.4,09,2017,Fall
Connecticut,201710,58.6,7.6,10,2017,Fall
Connecticut,201711,41.0,0.2,11,2017,Fall
Connecticut,201712,28.7,-1.0,12,2017,Winter
Connecticut,201801,25.4,-0.2,01,2018,Winter
Connecticut,201802,35.6,8.3,02,2018,Winter
Connecticut,201803,36.4,0.7,03,2018,Spring
Connecticut,201804,43.4,-2.8,04,2018,Spring
Connecticut,201805,62.1,5.1,05,2018,Spring
Connecticut,201806,66.3,0.5,06,2018,Summer
Connecticut,201807,73.9,3.1,07,2018,Summer
Connecticut,201808,74.3,5.3,08,2018,Summer
Connecticut,201809,66.1,4.5,09,2018,Fall
Connecticut,201810,52.3,1.3,10,2018,Fall
Connecticut,201811,39.1,-1.7,11,2018,Fall
Connecticut,201812,33.9,4.2,12,2018,Winter
Connecticut,201901,27.1,1.5,01,2019,Winter
Delaware,201601,34.3,0.9,01,2016,Winter
Delaware,201602,38.5,3.5,02,2016,Winter
Delaware,201603,49.7,7.0,03,2016,Spring
Delaware,201604,53.1,0.9,04,2016,Spring
Delaware,201605,61.7,-0.6,05,2016,Spring
Delaware,201606,72.4,1.4,06,2016,Summer
Delaware,201607,79.6,3.9,07,2016,Summer
Delaware,201608,78.6,4.6,08,2016,Summer
Delaware,201609,72.0,4.4,09,2016,Fall
Delaware,201610,60.3,3.9,10,2016,Fall
Delaware,201611,49.0,2.9,11,2016,Fall
Delaware,201612,39.2,2.6,12,2016,Winter
Delaware,201701,39.1,5.7,01,2017,Winter
Delaware,201702,44.4,9.4,02,2017,Winter
Delaware,201703,43.8,1.1,03,2017,Spring
Delaware,201704,59.6,7.4,04,2017,Spring
Delaware,201705,62.8,0.5,05,2017,Spring
Delaware,201706,73.6,2.6,06,2017,Summer
Delaware,201707,78.4,2.7,07,2017,Summer
Delaware,201708,74.0,0.0,08,2017,Summer
Delaware,201709,69.8,2.2,09,2017,Fall
Delaware,201710,62.4,6.0,10,2017,Fall
Delaware,201711,47.5,1.4,11,2017,Fall
Delaware,201712,36.1,-0.5,12,2017,Winter
Delaware,201801,32.4,-1.0,01,2018,Winter
Delaware,201802,42.8,7.8,02,2018,Winter
Delaware,201803,40.2,-2.5,03,2018,Spring
Delaware,201804,51.2,-1.0,04,2018,Spring
Delaware,201805,67.9,5.6,05,2018,Spring
Delaware,201806,72.6,1.6,06,2018,Summer
Delaware,201807,77.2,1.5,07,2018,Summer
Delaware,201808,78.5,4.5,08,2018,Summer
Delaware,201809,73.2,5.6,09,2018,Fall
Delaware,201810,59.8,3.4,10,2018,Fall
Delaware,201811,45.0,-1.1,11,2018,Fall
Delaware,201812,40.8,4.2,12,2018,Winter
Delaware,201901,34.6,1.2,01,2019,Winter
Florida,201601,56.9,-0.9,01,2016,Winter
Florida,201602,59.4,-0.3,02,2016,Winter
Florida,201603,68.8,4.8,03,2016,Spring
Florida,201604,71.2,1.8,04,2016,Spring
Florida,201605,76.2,1.0,05,2016,Spring
Florida,201606,81.9,2.3,06,2016,Summer
Florida,201607,84.0,2.8,07,2016,Summer
Florida,201608,83.0,1.8,08,2016,Summer
Florida,201609,81.1,1.9,09,2016,Fall
Florida,201610,74.6,2.2,10,2016,Fall
Florida,201611,66.6,2.1,11,2016,Fall
Florida,201612,65.9,6.9,12,2016,Winter
Florida,201701,62.8,5.0,01,2017,Winter
Florida,201702,65.5,5.8,02,2017,Winter
Florida,201703,66.2,2.2,03,2017,Spring
Florida,201704,72.3,2.9,04,2017,Spring
Florida,201705,77.1,1.9,05,2017,Spring
Florida,201706,80.2,0.6,06,2017,Summer
Florida,201707,82.8,1.6,07,2017,Summer
Florida,201708,82.8,1.6,08,2017,Summer
Florida,201709,80.4,1.2,09,2017,Fall
Florida,201710,74.9,2.5,10,2017,Fall
Florida,201711,67.4,2.9,11,2017,Fall
Florida,201712,61.7,2.7,12,2017,Winter
Florida,201801,55.0,-2.8,01,2018,Winter
Florida,201802,69.2,9.5,02,2018,Winter
Florida,201803,63.0,-1.0,03,2018,Spring
Florida,201804,70.2,0.8,04,2018,Spring
Florida,201805,76.5,1.3,05,2018,Spring
Florida,201806,81.6,2.0,06,2018,Summer
Florida,201807,82.4,1.2,07,2018,Summer
Florida,201808,82.2,1.0,08,2018,Summer
Florida,201809,82.3,3.1,09,2018,Fall
Florida,201810,76.5,4.1,10,2018,Fall
Florida,201811,66.8,2.3,11,2018,Fall
Florida,201812,61.8,2.8,12,2018,Winter
Florida,201901,58.5,0.7,01,2019,Winter
Georgia,201601,44.4,-1.7,01,2016,Winter
Georgia,201602,50.0,0.9,02,2016,Winter
Georgia,201603,60.9,5.7,03,2016,Spring
Georgia,201604,63.9,0.8,04,2016,Spring
Georgia,201605,70.8,0.0,05,2016,Spring
Georgia,201606,79.7,2.5,06,2016,Summer
Georgia,201607,82.8,3.1,07,2016,Summer
Georgia,201608,81.6,2.6,08,2016,Summer
Georgia,201609,77.5,3.1,09,2016,Fall
Georgia,201610,67.8,3.6,10,2016,Fall
Georgia,201611,58.0,3.6,11,2016,Fall
Georgia,201612,52.1,4.8,12,2016,Winter
Georgia,201701,53.2,7.1,01,2017,Winter
Georgia,201702,56.5,7.4,02,2017,Winter
Georgia,201703,58.0,2.8,03,2017,Spring
Georgia,201704,67.5,4.4,04,2017,Spring
Georgia,201705,71.4,0.6,05,2017,Spring
Georgia,201706,76.6,-0.6,06,2017,Summer
Georgia,201707,80.6,0.9,07,2017,Summer
Georgia,201708,79.4,0.4,08,2017,Summer
Georgia,201709,74.0,-0.4,09,2017,Fall
Georgia,201710,67.0,2.8,10,2017,Fall
Georgia,201711,56.4,2.0,11,2017,Fall
Georgia,201712,49.3,2.0,12,2017,Winter
Georgia,201801,42.4,-3.7,01,2018,Winter
Georgia,201802,59.1,10.0,02,2018,Winter
Georgia,201803,54.5,-0.7,03,2018,Spring
Georgia,201804,60.5,-2.6,04,2018,Spring
Georgia,201805,73.7,2.9,05,2018,Spring
Georgia,201806,79.3,2.1,06,2018,Summer
Georgia,201807,80.1,0.4,07,2018,Summer
Georgia,201808,79.3,0.3,08,2018,Summer
Georgia,201809,79.8,5.4,09,2018,Fall
Georgia,201810,68.3,4.1,10,2018,Fall
Georgia,201811,53.2,-1.2,11,2018,Fall
Georgia,201812,50.2,2.9,12,2018,Winter
Georgia,201901,48.2,2.1,01,2019,Winter
Idaho,201601,25.8,3.7,01,2016,Winter
Idaho,201602,31.9,5.1,02,2016,Winter
Idaho,201603,37.0,4.2,03,2016,Spring
Idaho,201604,47.0,5.9,04,2016,Spring
Idaho,201605,50.6,1.1,05,2016,Spring
Idaho,201606,61.2,4.4,06,2016,Summer
Idaho,201607,64.8,-0.5,07,2016,Summer
Idaho,201608,64.7,1.0,08,2016,Summer
Idaho,201609,54.6,-0.3,09,2016,Fall
Idaho,201610,45.7,1.5,10,2016,Fall
Idaho,201611,38.7,7.2,11,2016,Fall
Idaho,201612,19.1,-5.1,12,2016,Winter
Idaho,201701,18.5,-3.6,01,2017,Winter
Idaho,201702,29.5,2.7,02,2017,Winter
Idaho,201703,38.5,5.7,03,2017,Spring
Idaho,201704,40.3,-0.8,04,2017,Spring
Idaho,201705,50.6,1.1,05,2017,Spring
Idaho,201706,59.1,2.3,06,2017,Summer
Idaho,201707,70.0,4.7,07,2017,Summer
Idaho,201708,66.9,3.2,08,2017,Summer
Idaho,201709,55.7,0.8,09,2017,Fall
Idaho,201710,41.9,-2.3,10,2017,Fall
Idaho,201711,34.9,3.4,11,2017,Fall
Idaho,201712,25.2,1.0,12,2017,Winter
Idaho,201801,30.4,8.3,01,2018,Winter
Idaho,201802,26.2,-0.6,02,2018,Winter
Idaho,201803,33.7,0.9,03,2018,Spring
Idaho,201804,42.4,1.3,04,2018,Spring
Idaho,201805,53.9,4.4,05,2018,Spring
Idaho,201806,57.7,0.9,06,2018,Summer
Idaho,201807,68.4,3.1,07,2018,Summer
Idaho,201808,65.0,1.3,08,2018,Summer
Idaho,201809,56.2,1.3,09,2018,Fall
Idaho,201810,44.1,-0.1,10,2018,Fall
Idaho,201811,32.0,0.5,11,2018,Fall
Idaho,201812,24.3,0.1,12,2018,Winter
Idaho,201901,26.2,4.1,01,2019,Winter
Illinois,201601,26.9,1.6,01,2016,Winter
Illinois,201602,33.8,3.8,02,2016,Winter
Illinois,201603,47.3,7.5,03,2016,Spring
Illinois,201604,53.0,1.2,04,2016,Spring
Illinois,201605,62.0,-0.3,05,2016,Spring
Illinois,201606,74.8,3.2,06,2016,Summer
Illinois,201607,75.6,0.0,07,2016,Summer
Illinois,201608,75.7,2.2,08,2016,Summer
Illinois,201609,70.8,4.5,09,2016,Fall
Illinois,201610,59.9,5.1,10,2016,Fall
Illinois,201611,48.1,7.3,11,2016,Fall
Illinois,201612,28.9,-0.8,12,2016,Winter
Illinois,201701,32.1,6.8,01,2017,Winter
Illinois,201702,41.1,11.1,02,2017,Winter
Illinois,201703,43.2,3.4,03,2017,Spring
Illinois,201704,56.5,4.7,04,2017,Spring
Illinois,201705,61.9,-0.4,05,2017,Spring
Illinois,201706,72.7,1.1,06,2017,Summer
Illinois,201707,76.1,0.5,07,2017,Summer
Illinois,201708,70.5,-3.0,08,2017,Summer
Illinois,201709,68.8,2.5,09,2017,Fall
Illinois,201710,58.1,3.3,10,2017,Fall
Illinois,201711,41.9,1.1,11,2017,Fall
Illinois,201712,29.8,0.1,12,2017,Winter
Illinois,201801,24.1,-1.2,01,2018,Winter
Illinois,201802,31.8,1.8,02,2018,Winter
Illinois,201803,39.2,-0.6,03,2018,Spring
Illinois,201804,44.8,-7.0,04,2018,Spring
Illinois,201805,70.7,8.4,05,2018,Spring
Illinois,201806,74.9,3.3,06,2018,Summer
Illinois,201807,75.0,-0.6,07,2018,Summer
Illinois,201808,74.7,1.2,08,2018,Summer
Illinois,201809,70.3,4.0,09,2018,Fall
Illinois,201810,54.2,-0.6,10,2018,Fall
Illinois,201811,35.6,-5.2,11,2018,Fall
Illinois,201812,34.4,4.7,12,2018,Winter
Illinois,201901,25.4,0.1,01,2019,Winter
Indiana,201601,27.5,1.0,01,2016,Winter
Indiana,201602,33.9,3.7,02,2016,Winter
Indiana,201603,47.3,7.9,03,2016,Spring
Indiana,201604,52.0,1.1,04,2016,Spring
Indiana,201605,60.6,-0.8,05,2016,Spring
Indiana,201606,72.9,2.3,06,2016,Summer
Indiana,201607,74.6,0.1,07,2016,Summer
Indiana,201608,75.7,3.3,08,2016,Summer
Indiana,201609,69.9,4.2,09,2016,Fall
Indiana,201610,59.5,5.5,10,2016,Fall
Indiana,201611,47.0,5.8,11,2016,Fall
Indiana,201612,29.8,-0.7,12,2016,Winter
Indiana,201701,33.8,7.3,01,2017,Winter
Indiana,201702,41.3,11.1,02,2017,Winter
Indiana,201703,42.6,3.2,03,2017,Spring
Indiana,201704,57.0,6.1,04,2017,Spring
Indiana,201705,60.9,-0.5,05,2017,Spring
Indiana,201706,71.1,0.5,06,2017,Summer
Indiana,201707,74.2,-0.3,07,2017,Summer
Indiana,201708,70.0,-2.4,08,2017,Summer
Indiana,201709,67.2,1.5,09,2017,Fall
Indiana,201710,57.6,3.6,10,2017,Fall
Indiana,201711,42.4,1.2,11,2017,Fall
Indiana,201712,29.6,-0.9,12,2017,Winter
Indiana,201801,24.5,-2.0,01,2018,Winter
Indiana,201802,35.1,4.9,02,2018,Winter
Indiana,201803,38.3,-1.1,03,2018,Spring
Indiana,201804,45.2,-5.7,04,2018,Spring
Indiana,201805,69.7,8.3,05,2018,Spring
Indiana,201806,73.4,2.8,06,2018,Summer
Indiana,201807,74.2,-0.3,07,2018,Summer
Indiana,201808,74.0,1.6,08,2018,Summer
Indiana,201809,69.8,4.1,09,2018,Fall
Indiana,201810,54.9,0.9,10,2018,Fall
Indiana,201811,36.9,-4.3,11,2018,Fall
Indiana,201812,35.4,4.9,12,2018,Winter
Indiana,201901,26.9,0.4,01,2019,Winter
Iowa,201601,19.6,1.9,01,2016,Winter
Iowa,201602,28.6,5.1,02,2016,Winter
Iowa,201603,42.4,7.9,03,2016,Spring
Iowa,201604,50.1,1.8,04,2016,Spring
Iowa,201605,59.5,-0.5,05,2016,Spring
Iowa,201606,73.0,3.7,06,2016,Summer
Iowa,201607,72.8,-1.1,07,2016,Summer
Iowa,201608,72.0,0.5,08,2016,Summer
Iowa,201609,67.3,4.3,09,2016,Fall
Iowa,201610,55.3,3.8,10,2016,Fall
Iowa,201611,45.1,9.6,11,2016,Fall
Iowa,201612,22.9,0.0,12,2016,Winter
Iowa,201701,24.2,6.5,01,2017,Winter
Iowa,201702,34.5,11.0,02,2017,Winter
Iowa,201703,37.5,3.0,03,2017,Spring
Iowa,201704,51.1,2.8,04,2017,Spring
Iowa,201705,58.5,-1.5,05,2017,Spring
Iowa,201706,71.1,1.8,06,2017,Summer
